original_language,original_title,popularity,release_date,runtime,title,vote_average,vote_count,price
en,The Equalizer,17.618057,24/09/2014,132,The Equalizer,7.1,2997,6.99
en,How to Train Your Dragon 2,12.256689,12/06/2014,102,How to Train Your Dragon 2,7.6,3163,7.99
en,Birdman,18.193263,27/08/2014,119,Birdman,7.4,4657,6.99
en,Play It As It Lays,0.000431,19/10/1972,99,Play It As It Lays,7.3,3,6.99
en,Mrs. Pollifax: Spy,0.64703,21/05/1971,110,Mrs. Pollifax: Spy,7.5,2,7.99
en,Boyhood,6.430591,05/06/2014,164,Boyhood,7.5,2008,7.99
en,Tall Story,0.463448,06/04/1960,91,Tall Story,10,1,9.99
en,The Internet's Own Boy: The Story of Aaron Swartz,6.114898,27/06/2014,105,The Internet's Own Boy: The Story of Aaron Swartz,7.8,180,7.99
en,Jennifer,0.468194,13/05/1978,90,Jennifer,8.7,6,8.99
en,Whiplash,64.29999,10/10/2014,105,Whiplash,8.3,4376,7.99
en,Gone Girl,154.801009,01/10/2014,145,Gone Girl,7.9,6023,7.99
en,Dawn of the Planet of the Apes,75.385211,26/06/2014,130,Dawn of the Planet of the Apes,7.3,4511,6.99
en,Guardians of the Galaxy,53.291601,30/07/2014,121,Guardians of the Galaxy,7.9,10014,7.99
en,Busses Roar,0.142022,18/08/1942,58,Busses Roar,8,1,7.99
en,Monty Python Live (Mostly),1.315493,20/07/2014,138,Monty Python Live (Mostly),7.2,18,6.99
en,1,7.732143,30/09/2013,112,1,7.3,36,6.99
en,The Hundred-Foot Journey,14.466789,06/08/2014,122,The Hundred-Foot Journey,7.3,516,6.99
en,Batman: Assault on Arkham,6.0955,12/08/2014,75,Batman: Assault on Arkham,7.3,298,6.99
en,What About Dick?,0.912708,13/11/2012,80,What About Dick?,8,1,7.99
en,Crossroads,0.256422,23/07/1942,83,Crossroads,7.1,6,6.99
en,The Strangler,0.09055,01/04/1964,89,The Strangler,8.5,2,7.99
en,An Act of Murder,0.403008,05/12/1948,91,An Act of Murder,7.3,3,6.99
en,If I Stay,9.659244,21/08/2014,106,If I Stay,7.3,1415,6.99
en,Lights Out,4.08272,01/12/2013,3,Lights Out,7.5,71,7.99
en,Coherence,6.851243,19/09/2013,89,Coherence,7.2,653,6.99
en,Charlie Chan in the Secret Service,0.738818,14/02/1944,63,Charlie Chan in the Secret Service,7.1,6,6.99
en,2081,5.269893,29/05/2009,25,2081,7.2,20,6.99
en,Pride,9.111867,12/09/2014,119,Pride,7.7,457,7.99
en,Castle in the Desert,0.736539,02/02/1942,62,Castle in the Desert,7.1,7,6.99
en,Hori Smoku Sailor Jerry,0.039175,03/03/2008,73,Hori Smoku Sailor Jerry,10,1,9.99
en,700 Sundays,1.735423,19/04/2014,119,700 Sundays,8,1,7.99
